what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.svn.revision.graph,0.7.9.I20110318-1700,"org.eclipse.team.svn.revision.graph",1389361060627
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1389361063015
started,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1389361063030
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1389361064978
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1389361066457
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1389361066534
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1389361068265
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1389361100572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361113545
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361158288
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361167288
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361276249
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1389361278301
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1389361278644
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1389361278652
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361283569
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389361286520
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1389361288036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361288987
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1389361290322
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389361290606
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389361290899
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1389361291128
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361292784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361301697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389361304754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389361305823
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1389361305942
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1389361311902
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1389361312836
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1389361313473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361315530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389361316543
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361318176
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389361318324
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389361318518
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361319301
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361326755
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1389361331046
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389361331577
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1389361335000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361337431
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361337784
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1389361340533
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1389361342047
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1389361347627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361352703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1389361352901
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1389361353564
started,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1389361354766
